state,total_med_enr,comp_mco,pccm,mltss,bho,dental,transportation,pace,other
Alabama,1050989,NA,644384,NA,NA,NA,NA,175,16093
Alaska,164783,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,1740520,1471809,NA,NA,NA,NA,NA,NA,NA
Arkansas,762166,NA,557019,NA,NA,NA,615048,161,NA
California,13096861,9685902,NA,NA,29,897692,NA,5155,847
Colorado,1264600,66108,874656,NA,1210753,NA,NA,2691,NA
Connecticut,746119,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,227909,203066,NA,NA,NA,NA,NA,146,NA
District of Columbia,271428,184788,NA,NA,NA,NA,55241,NA,NA
Florida,3808334,3005986,NA,87591,NA,NA,NA,1100,NA
Georgia,1990810,1357900,NA,NA,NA,NA,NA,NA,11645
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,340513,336764,NA,NA,NA,NA,NA,NA,NA
Idaho,283355,1635,258734,NA,273783,278427,281189,NA,NA
Illinois,3269999,1589386,1319985,NA,NA,NA,NA,NA,NA
Indiana,1295358,905997,27159,NA,NA,NA,NA,NA,NA
Iowa,618505,59752,294402,NA,572219,131534,440586,259,NA
Kansas,403844,364464,NA,NA,NA,NA,NA,374,NA
Kentucky,1284193,1198540,NA,NA,NA,NA,NA,NA,NA
Louisiana,1402212,965955,NA,NA,1080811,1085531,NA,331,NA
Maine,288324,NA,159905,NA,NA,NA,242390,NA,NA
Maryland,1271445,1018553,NA,NA,NA,NA,NA,7,NA
Massachusetts,1829618,873682,374575,NA,374575,NA,NA,3551,NA
Michigan,3947031,2164405,NA,10688,2021172,549387,NA,1336,NA
Minnesota,1052521,782454,NA,NA,NA,NA,NA,NA,NA
Mississippi,740937,505038,NA,NA,NA,NA,NA,NA,NA
Missouri,944257,462963,NA,NA,NA,NA,458900,209,NA
Montana,139950,NA,103752,NA,NA,NA,NA,NA,NA
Nebraska,239463,188591,NA,NA,229172,NA,NA,102,NA
Nevada,588304,390232,35470,NA,NA,NA,515868,NA,NA
New Hampshire,186399,161411,NA,NA,NA,NA,NA,NA,NA
New Jersey,1705594,1541901,NA,NA,NA,NA,1656154,838,NA
New Mexico,826155,648295,NA,NA,NA,NA,NA,746,NA
New York,6281038,4647584,NA,129410,NA,NA,NA,5579,NA
North Carolina,1965805,NA,1381034,NA,1568226,NA,NA,1281,NA
North Dakota,86250,18788,46299,NA,NA,NA,NA,115,219
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,3060446,2276400,NA,NA,NA,NA,NA,351,NA
Oklahoma,829561,NA,549496,NA,NA,NA,549267,229,NA
Oregon,1123913,922992,NA,NA,NA,NA,NA,1081,NA
Pennsylvania,2569232,1993748,NA,NA,2186609,NA,534104,5192,NA
Puerto Rico,1458819,1458819,NA,NA,NA,NA,NA,NA,NA
Rhode Island,308521,242511,6899,NA,NA,83442,NA,273,NA
South Carolina,1233430,764450,157,NA,NA,NA,1233430,402,NA
South Dakota,124497,NA,93548,NA,NA,NA,NA,NA,NA
Tennessee,1562745,1435862,NA,NA,NA,NA,NA,281,NA
Texas,4273982,3531645,11929,NA,549070,2896247,3531783,1114,NA
Utah,293867,241631,NA,NA,286468,138719,245124,NA,NA
Vermont,206469,135125,NA,NA,NA,NA,NA,NA,NA
Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,1092225,753416,NA,NA,NA,NA,NA,1533,NA
Washington,1771679,1420767,12420,NA,1771679,NA,1771679,513,NA
West Virginia,545748,209958,2798,NA,NA,NA,NA,NA,NA
Wisconsin,1209714,756021,NA,40385,1209,NA,NA,656,2726
Wyoming,66532,NA,NA,NA,0,NA,NA,66,NA
